,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
3085655,34631090,2019-06-28,t,$50.00,$50.00,1,1125
3085656,34631090,2019-06-29,t,$50.00,$50.00,1,1125
3085657,34631090,2019-06-30,t,$50.00,$50.00,1,1125
3086017,34631625,2019-06-25,t,$100.00,$100.00,2,30
3086018,34631625,2019-06-26,t,$100.00,$100.00,2,30
3086019,34631625,2019-06-27,t,$97.00,$97.00,2,30
3086022,34631625,2019-06-30,t,$97.00,$97.00,2,30
3086387,34633806,2019-06-30,t,$149.00,$149.00,1,1125
3086749,34645000,2019-06-27,t,$42.00,$42.00,1,5
3086750,34645000,2019-06-28,t,$42.00,$42.00,1,5
3086751,34645000,2019-06-29,t,$42.00,$42.00,1,5
3086752,34645000,2019-06-30,t,$42.00,$42.00,1,5
3087113,34648376,2019-06-26,t,$115.00,$115.00,3,6
3087114,34648376,2019-06-27,t,$115.00,$115.00,3,6
3087115,34648376,2019-06-28,t,$115.00,$115.00,3,6
3087116,34648376,2019-06-29,t,$115.00,$115.00,3,6
3087117,34648376,2019-06-30,t,$115.00,$115.00,3,6
3087551,34547719,2019-06-30,t,$300.00,$300.00,2,1125
3087911,34549833,2019-06-25,t,$229.00,$229.00,1,15
3087912,34549833,2019-06-26,t,$229.00,$229.00,1,15
3087913,34549833,2019-06-27,t,$229.00,$229.00,1,15
3087914,34549833,2019-06-28,t,$298.00,$298.00,1,15
3087915,34549833,2019-06-29,t,$298.00,$298.00,1,15
3087916,34549833,2019-06-30,t,$229.00,$229.00,1,15
3088279,34567280,2019-06-28,t,$45.00,$45.00,1,1125
3088280,34567280,2019-06-29,t,$45.00,$45.00,1,1125
3088281,34567280,2019-06-30,t,$45.00,$45.00,1,1125
3088800,34649349,2019-06-25,t,$70.00,$70.00,2,1000
3088801,34649349,2019-06-26,t,$70.00,$70.00,2,1000
3088804,34649349,2019-06-29,t,$70.00,$70.00,2,1000
3088805,34649349,2019-06-30,t,$70.00,$70.00,2,1000
3089897,34651495,2019-06-27,t,$75.00,$75.00,1,1125
3089900,34651495,2019-06-30,t,$125.00,$125.00,1,1125
3090260,34652879,2019-06-25,t,$124.00,$124.00,1,14
3090261,34652879,2019-06-26,t,$124.00,$124.00,1,14
3090262,34652879,2019-06-27,t,$219.00,$219.00,1,14
3090263,34652879,2019-06-28,t,$349.00,$349.00,1,14
3090264,34652879,2019-06-29,t,$349.00,$349.00,1,14
3090265,34652879,2019-06-30,t,$169.00,$169.00,1,14
3090635,34567656,2019-06-25,t,$81.00,$69.00,1,1125
3090636,34567656,2019-06-26,t,$81.00,$69.00,1,1125
3090637,34567656,2019-06-27,t,$81.00,$69.00,1,1125
3090638,34567656,2019-06-28,t,$199.00,$169.00,1,1125
3090639,34567656,2019-06-29,t,$199.00,$199.00,1,1125
3090640,34567656,2019-06-30,t,$88.00,$88.00,1,1125
3091002,34568010,2019-06-27,t,$109.00,$109.00,1,1125
3091003,34568010,2019-06-28,t,$229.00,$229.00,1,1125
3091004,34568010,2019-06-29,t,$229.00,$229.00,1,1125
